re_code,m_code,g_code,reservation_no,r_code,booker_name,reserved_at,check_in_date,check_out_date,original_price,discount_rate,coupon_used,final_price,cancel,cancel_date,review_status
435,17,0,R-2025-12-20-a1b2c023,167,user17,2025-12-20 13:55,2025-12-22,2025-12-24,380000,10,0,342000,0,,1
436,18,0,R-2025-12-20-a1b2c024,175,user18,2025-12-20 15:00,2025-12-24,2025-12-27,165000,10,0,148500,0,,1
437,19,0,R-2025-12-20-a1b2c025,181,user19,2025-12-20 16:05,2025-12-26,2025-12-27,172300,10,0,155070,0,,1
438,20,0,R-2025-12-20-a1b2c026,190,user20,2025-12-20 17:10,2025-12-27,2025-12-29,236800,0,0,236800,1,2025-12-21 17:10,0
439,21,0,R-2025-12-20-a1b2c027,199,user21,2025-12-20 18:15,2025-12-22,2025-12-25,249000,10,0,224100,1,2025-12-21 18:15,0
440,22,0,R-2025-12-20-a1b2c028,203,user22,2025-12-20 19:20,2025-12-24,2025-12-25,164000,10,0,147600,0,,1
441,23,0,R-2025-12-20-a1b2c029,211,user23,2025-12-20 20:25,2025-12-26,2025-12-28,134000,10,0,120600,0,,1
442,24,0,R-2025-12-20-a1b2c030,218,user24,2025-12-20 21:30,2025-12-22,2025-12-25,395700,10,0,356130,1,2025-12-21 21:30,0
443,25,0,R-2025-12-21-a1b2c031,220,user25,2025-12-21 6:20,2025-12-23,2025-12-24,188000,10,0,169200,0,,1
444,26,0,R-2025-12-21-a1b2c032,231,user26,2025-12-21 7:25,2025-12-25,2025-12-27,356000,10,0,320400,1,2025-12-22 7:25,0
445,0,82,R-20251221-v2w3x4y5,88,guest82,2025-12-21 8:22,2025-12-23,2025-12-27,388000,10,0,349200,0,,0
446,27,0,R-2025-12-21-a1b2c033,243,user27,2025-12-21 8:30,2025-12-27,2025-12-30,246000,10,0,221400,0,,1
447,28,0,R-2025-12-21-a1b2c034,245,user28,2025-12-21 9:35,2025-12-25,2025-12-26,178900,0,0,178900,0,,1
448,29,0,R-2025-12-21-a1b2c035,256,user29,2025-12-21 10:40,2025-12-24,2025-12-26,318400,10,0,286560,0,,1
449,30,0,R-2025-12-21-a1b2c036,264,user30,2025-12-21 11:45,2025-12-26,2025-12-29,624000,10,0,561600,0,,1
450,31,0,R-2025-12-21-a1b2c037,274,user31,2025-12-21 12:50,2025-12-24,2025-12-25,113800,10,0,102420,0,,1
451,32,0,R-2025-12-21-a1b2c038,279,user32,2025-12-21 13:55,2025-12-23,2025-12-25,354600,10,0,319140,1,2025-12-22 13:55,0
452,33,0,R-2025-12-21-a1b2c039,289,user33,2025-12-21 15:00,2025-12-25,2025-12-28,396600,10,0,356940,0,,1
453,34,0,R-2025-12-21-a1b2c040,295,user34,2025-12-21 16:05,2025-12-27,2025-12-28,149900,0,0,149900,0,,1
454,35,0,R-2025-12-21-a1b2c041,301,user35,2025-12-21 17:10,2025-12-22,2025-12-24,304000,10,0,273600,0,,1
455,36,0,R-2025-12-21-a1b2c042,305,user36,2025-12-21 18:15,2025-12-22,2025-12-25,330000,10,0,297000,0,,1
456,37,0,R-2025-12-21-a1b2c043,314,user37,2025-12-21 19:20,2025-12-26,2025-12-27,146000,10,0,131400,0,,1
457,38,0,R-2025-12-21-a1b2c044,319,user38,2025-12-21 20:25,2025-12-28,2025-12-30,108000,10,0,97200,0,,1
458,39,0,R-2025-12-21-a1b2c045,326,user39,2025-12-21 21:30,2025-12-24,2025-12-27,540000,10,0,486000,1,2025-12-22 21:30,0
459,40,0,R-2025-12-22-a1b2c046,333,user40,2025-12-22 6:20,2025-12-26,2025-12-27,119000,10,0,107100,0,,1
460,41,0,R-2025-12-22-a1b2c047,340,user41,2025-12-22 7:25,2025-12-28,2025-12-30,252000,10,0,226800,0,,1
461,42,0,R-2025-12-22-a1b2c048,352,user42,2025-12-22 8:30,2025-12-29,2026-01-01,567000,10,0,510300,0,,1
462,43,0,R-2025-12-22-a1b2c049,360,user43,2025-12-22 9:35,2025-12-24,2025-12-25,202000,10,0,181800,0,,1
463,44,0,R-2025-12-22-a1b2c050,371,user44,2025-12-22 10:40,2025-12-26,2025-12-28,354000,10,0,318600,0,,1
464,45,0,R-2025-12-22-a1b2c051,375,user45,2025-12-22 11:45,2025-12-28,2025-12-31,603000,0,0,603000,0,,1
465,46,0,R-2025-12-22-a1b2c052,386,user46,2025-12-22 12:50,2025-12-29,2025-12-30,148000,10,0,133200,0,,1
466,47,0,R-2025-12-22-a1b2c053,390,user47,2025-12-22 13:55,2025-12-24,2025-12-26,366000,10,0,329400,1,2025-12-23 13:55,0
467,48,0,R-2025-12-22-a1b2c054,397,user48,2025-12-22 15:00,2025-12-26,2025-12-29,729000,10,0,656100,0,,1
468,49,0,R-2025-12-22-a1b2c055,402,user49,2025-12-22 16:05,2025-12-28,2025-12-29,245000,0,0,245000,0,,1
469,50,0,R-2025-12-22-a1b2c056,410,user50,2025-12-22 17:10,2025-12-29,2025-12-31,490000,0,0,490000,0,,1
470,51,0,R-2025-12-22-a1b2c057,415,user51,2025-12-22 18:15,2025-12-24,2025-12-27,597000,0,0,597000,0,,1
471,52,0,R-2025-12-22-a1b2c058,420,user52,2025-12-22 19:20,2025-12-26,2025-12-27,253000,10,0,227700,0,,1
472,0,83,R-20251222-w3x4y5z6,305,guest83,2025-12-22 19:33,2025-12-25,2025-12-29,440000,10,0,396000,0,,0
473,53,0,R-2025-12-22-a1b2c059,12,user53,2025-12-22 20:25,2025-12-28,2025-12-30,244000,10,0,219600,0,,1
474,54,0,R-2025-12-22-a1b2c060,27,user54,2025-12-22 21:30,2025-12-29,2026-01-01,360000,0,0,360000,0,,1
475,0,84,R-20251223-x4y5z6a7,56,guest84,2025-12-23 2:44,2025-12-25,2025-12-29,560000,0,0,560000,0,,0
476,55,0,R-2025-12-23-a1b2c061,39,user55,2025-12-23 6:20,2025-12-28,2025-12-29,156000,10,0,140400,0,,1
477,56,0,R-2025-12-23-a1b2c062,47,user56,2025-12-23 7:25,2025-12-27,2025-12-29,248000,10,0,223200,0,,1
478,57,0,R-2025-12-23-a1b2c063,52,user57,2025-12-23 8:30,2025-12-29,2026-01-01,294000,0,0,294000,0,,1
479,58,0,R-2025-12-23-a1b2c064,57,user58,2025-12-23 9:35,2025-12-27,2025-12-28,152000,10,0,136800,0,,1
480,59,0,R-2025-12-23-a1b2c065,58,user59,2025-12-23 10:40,2025-12-26,2025-12-28,336000,10,0,302400,0,,1
481,60,0,R-2025-12-23-a1b2c066,68,user60,2025-12-23 11:45,2025-12-28,2025-12-31,489000,10,0,440100,0,,1
482,61,0,R-2025-12-23-a1b2c067,73,user61,2025-12-23 12:50,2025-12-30,2025-12-31,141000,0,0,126900,0,,1
483,62,0,R-2025-12-23-a1b2c068,81,user62,2025-12-23 13:55,2025-12-28,2025-12-30,212000,0,0,212000,0,,1
484,63,0,R-2025-12-23-a1b2c069,88,user63,2025-12-23 15:00,2025-12-27,2025-12-30,291000,10,0,261900,0,,1
485,64,0,R-2025-12-23-a1b2c070,95,user64,2025-12-23 16:05,2025-12-29,2025-12-30,182000,10,0,163800,0,,1
486,65,0,R-2025-12-23-a1b2c071,99,user65,2025-12-23 17:10,2025-12-24,2025-12-26,204000,10,0,183600,0,,1
487,66,0,R-2025-12-23-a1b2c072,108,user66,2025-12-23 18:15,2025-12-28,2025-12-31,348000,0,0,348000,0,,1
488,67,0,R-2025-12-23-a1b2c073,112,user67,2025-12-23 19:20,2025-12-28,2025-12-29,167000,10,0,150300,0,,1
489,68,0,R-2025-12-23-a1b2c074,124,user68,2025-12-23 20:25,2025-12-30,2026-01-01,182000,0,0,182000,0,,1
490,69,0,R-2025-12-23-a1b2c075,129,user69,2025-12-23 21:30,2025-12-25,2025-12-28,546000,10,0,491400,0,,1
491,70,0,R-2025-12-24-a1b2c076,135,user70,2025-12-24 6:20,2025-12-30,2025-12-31,122000,10,0,109800,0,,1
492,71,0,R-2025-12-24-a1b2c077,142,user71,2025-12-24 7:25,2025-12-30,2026-01-01,152000,10,0,136800,0,,1
493,72,0,R-2025-12-24-a1b2c078,154,user72,2025-12-24 8:30,2025-12-31,2026-01-03,456000,10,0,410400,0,,1
494,73,0,R-2025-12-24-a1b2c079,157,user73,2025-12-24 9:35,2026-01-01,2026-01-02,62000,0,0,62000,0,,1
495,74,0,R-2025-12-24-a1b2c080,166,user74,2025-12-24 10:40,2026-01-10,2026-01-12,356000,10,0,320400,1,2025-12-25 10:40,0
496,75,0,R-2025-12-24-a1b2c081,167,user75,2025-12-24 11:45,2025-12-30,2026-01-02,570000,10,0,513000,0,,1
497,76,0,R-2025-12-24-a1b2c082,175,user76,2025-12-24 12:50,2025-12-31,2026-01-01,55000,10,0,49500,0,,1
498,77,0,R-2025-12-24-a1b2c083,181,user77,2025-12-24 13:55,2025-12-28,2025-12-30,344600,10,0,310140,0,,1
499,78,0,R-2025-12-24-a1b2c084,190,user78,2025-12-24 15:00,2025-12-30,2026-01-02,355200,0,0,355200,0,,1
500,0,85,R-20251224-y5z6a7b8,399,guest85,2025-12-24 15:55,2025-12-26,2025-12-30,1068000,10,0,961200,0,,0
501,79,0,R-2025-12-24-a1b2c085,199,user79,2025-12-24 16:05,2025-12-30,2025-12-31,83000,10,0,74700,0,,1
502,80,0,R-2025-12-24-a1b2c086,203,user80,2025-12-24 17:10,2025-12-31,2026-01-02,328000,10,0,295200,0,,1
503,81,0,R-2025-12-24-a1b2c087,211,user81,2025-12-24 18:15,2026-01-01,2026-01-04,201000,10,0,180900,0,,1
504,82,0,R-2025-12-24-a1b2c088,218,user82,2025-12-24 19:20,2025-12-26,2025-12-27,131900,10,0,118710,0,,1
505,83,0,R-2025-12-24-a1b2c089,220,user83,2025-12-24 20:25,2025-12-30,2026-01-01,376000,10,0,338400,1,2025-12-25 20:25,0
506,84,0,R-2025-12-24-a1b2c090,231,user84,2025-12-24 21:30,2025-12-31,2026-01-03,534000,10,0,480600,0,,1
507,85,0,R-2025-12-25-a1b2c091,243,user85,2025-12-25 6:20,2025-12-27,2025-12-28,82000,10,0,73800,0,,1
508,86,0,R-2025-12-25-a1b2c092,245,user86,2025-12-25 7:25,2025-12-29,2025-12-31,357800,0,0,357800,0,,1
509,87,0,R-2025-12-25-a1b2c093,256,user87,2025-12-25 8:30,2025-12-31,2026-01-03,477600,10,0,429840,1,2025-12-26 8:30,0
510,88,0,R-2025-12-25-a1b2c094,264,user88,2025-12-25 9:35,2025-12-25,2025-12-26,208000,10,0,187200,0,,1
511,0,87,R-20251225-a7b8c9d0,210,guest87,2025-12-25 10:10,2026-01-01,2026-01-05,656800,10,0,591120,0,,0
512,0,88,R-20251225-b8c9d0e1,33,guest88,2025-12-25 10:10,2025-12-27,2025-12-31,712000,10,0,640800,0,,0
513,0,89,R-20251225-c9d0e1f2,170,guest89,2025-12-25 10:10,2025-12-27,2025-12-31,340000,0,0,340000,0,,0
514,0,90,R-20251225-d0e1f2g3,62,guest90,2025-12-25 10:10,2026-01-05,2026-01-08,300000,10,0,270000,0,,0
515,0,91,R-20251225-e1f2g3h4,95,guest91,2025-12-25 10:10,2026-01-03,2026-01-06,546000,10,0,491400,0,,0
516,0,92,R-20251225-f2g3h4i5,18,guest92,2025-12-25 10:10,2025-12-28,2025-12-31,471000,10,0,423900,0,,0
517,0,93,R-20251225-a3h4i5j6,240,guest93,2025-12-25 10:10,2025-12-28,2025-12-31,466200,10,0,419580,0,,0
518,0,94,R-20251225-h4i5j6k7,12,guest94,2025-12-25 10:10,2026-02-18,2026-02-22,488000,10,0,439200,0,,0
519,0,95,R-20251225-i5j6k7l8,45,guest95,2025-12-25 10:10,2025-12-27,2025-12-31,720000,10,0,648000,0,,0
520,0,96,R-20251225-j6k7l8m9,101,guest96,2025-12-25 10:10,2025-12-27,2025-12-31,544000,0,0,544000,0,,0
521,0,97,R-20251225-s7l8m9n0,9,guest97,2025-12-25 10:10,2025-12-27,2025-12-31,808000,10,0,727200,1,2025-12-26 11:00,0
522,0,98,R-20251225-l8m9n0o1,67,guest98,2025-12-25 10:10,2025-12-27,2025-12-31,604000,10,0,543600,0,,0
523,0,99,R-20251225-m9n0o1p2,78,guest99,2025-12-25 10:10,2025-12-27,2025-12-31,748000,10,0,673200,0,,0
524,0,100,R-20251225-n0o1p2q3,41,guest100,2025-12-25 10:10,2025-12-27,2025-12-31,404000,10,0,363600,0,,0
525,0,101,R-20251225-a1b2c3d4,134,guest101,2025-12-25 10:10,2025-12-27,2025-12-31,440000,10,0,396000,0,,0
526,0,102,R-20251225-b2c3d4e5,88,guest102,2025-12-25 10:10,2025-12-27,2025-12-31,388000,10,0,349200,0,,0
527,0,103,R-20251225-c3d4e5f6,305,guest103,2025-12-25 10:10,2026-02-07,2026-02-11,440000,10,0,396000,0,,0
528,0,104,R-20251225-d4e5f6g7,56,guest104,2025-12-25 10:10,2026-01-20,2026-01-23,560000,0,0,560000,0,,0
529,0,105,R-20251225-e5f6g7h8,399,guest105,2025-12-25 10:10,2026-01-17,2026-01-21,1068000,10,0,961200,0,,0
530,0,106,R-20251225-f6g7h8i9,7,guest106,2025-12-25 10:10,2026-01-20,2026-01-24,712000,10,0,640800,1,2025-12-26 9:00,0
531,0,107,R-20251225-j0h8i9j0,210,guest107,2025-12-25 10:10,2025-12-27,2025-12-31,656800,10,0,591120,0,,0
532,0,108,R-20251225-h8i9j0k1,33,guest108,2025-12-25 10:10,2026-01-20,2026-01-24,712000,10,0,640800,0,,0
533,0,109,R-20251225-i9j0k1l2,170,guest109,2025-12-25 10:10,2026-01-01,2026-01-05,340000,0,0,340000,0,,0
534,0,110,R-20251225-j0k1l2m3,62,guest110,2025-12-25 10:10,2026-01-10,2026-01-13,400000,10,0,360000,0,,0
535,0,111,R-20251225-d1b2c3d4,301,guest111,2025-12-25 10:10,2025-12-25,2025-12-29,608000,10,0,547200,0,,0
536,0,112,R-20251225-a5f6g7h8,55,guest112,2025-12-25 10:10,2025-12-27,2025-12-31,512000,10,0,460800,0,,0
537,0,113,R-20251225-i9h0k1l2,188,guest113,2025-12-25 10:10,2026-01-01,2026-01-04,630000,10,0,567000,0,,0
538,0,114,R-20251225-m3n4o5p6,92,guest114,2025-12-25 10:10,2025-12-26,2025-12-31,790000,10,0,711000,0,,0
539,0,115,R-20251225-q7r8s9t0,14,guest115,2025-12-25 10:10,2026-01-01,2026-01-04,504000,10,0,453600,0,,0
540,0,116,R-20251225-u1v2w3x4,78,guest116,2025-12-25 10:10,2025-12-27,2025-12-31,748000,0,0,748000,0,,0
541,0,117,R-20251225-y5z6a7b8,41,guest117,2025-12-25 10:10,2026-01-05,2026-01-09,404000,10,0,363600,0,,0
542,0,118,R-20251225-c9d0e1f2,95,guest118,2025-12-25 10:10,2025-12-27,2025-12-31,728000,10,0,655200,1,2025-12-26 10:10,0
543,0,119,R-20251225-g3h4i5j6,7,guest119,2025-12-25 10:10,2026-02-06,2026-02-10,712000,10,0,640800,0,,0
544,0,120,R-20251225-k7l8m9n0,210,guest120,2025-12-25 10:10,2026-01-10,2026-01-14,656800,10,0,591120,0,,0
545,0,121,R-20251225-h1b2c3d4,301,guest121,2025-12-25 10:10,2026-01-01,2026-01-04,456000,10,0,410400,0,,0
546,0,122,R-20251225-s5f6g7h8,55,guest122,2025-12-25 10:10,2026-01-01,2026-01-04,384000,10,0,345600,0,,0
547,0,123,R-20251225-i9s0k1l2,188,guest123,2025-12-25 10:10,2025-12-27,2025-12-31,840000,10,0,756000,1,2025-12-26 10:00,0
548,0,124,R-20251225-m3n4o5p6,92,guest124,2025-12-25 10:10,2026-01-26,2026-01-31,790000,10,0,711000,0,,0
549,0,125,R-20251225-a7r8s9t0,14,guest125,2025-12-25 10:10,2025-12-26,2025-12-31,840000,10,0,756000,0,,0
550,0,126,R-20251225-x1b2c3d4,145,guest126,2025-12-25 10:10,2025-12-26,2025-12-31,845000,10,0,760500,0,,0
551,0,127,R-20251225-b2c3d4e5,88,guest127,2025-12-25 10:10,2025-12-28,2025-12-31,291000,10,0,261900,0,,0
552,0,128,R-20251225-b3d4e5f6,305,guest128,2025-12-25 10:10,2025-12-29,2026-01-01,330000,10,0,297000,0,,0
553,0,129,R-20251225-s4e5f6g7,56,guest129,2025-12-25 10:10,2025-12-28,2025-12-31,420000,0,0,420000,0,,0
554,0,130,R-20251225-d5f6g7h8,399,guest130,2025-12-25 10:10,2026-01-26,2026-01-31,1335000,10,0,1201500,0,,0
555,0,131,R-20251225-f6g7h8x9,7,guest131,2025-12-25 10:10,2026-03-14,2026-03-19,890000,10,0,801000,0,,0
556,0,132,R-20251225-g7s8i9j0,210,guest132,2025-12-25 10:10,2026-01-27,2026-01-31,656800,10,0,591120,0,,0
557,0,133,R-20251225-s8i9j0k1,33,guest133,2025-12-25 10:10,2026-02-08,2026-02-12,712000,10,0,640800,0,,0
558,0,134,R-20251225-i9g0j1l2,170,guest134,2025-12-25 10:10,2026-01-10,2026-01-13,255000,0,0,255000,0,,0
559,0,135,R-20251225-j0k1l2m3,62,guest135,2025-12-25 10:10,2025-12-28,2025-12-31,300000,10,0,270000,0,,0
560,0,136,R-20251225-t1b2c3d4,136,guest136,2025-12-25 10:10,2025-12-26,2025-12-31,710000,10,0,639000,0,,0
561,0,137,R-20251225-b2c3d4e5,137,guest137,2025-12-25 10:10,2025-12-26,2025-12-31,770000,10,0,693000,0,,0
562,0,138,R-20251225-c3d4e5f6,138,guest138,2025-12-25 10:10,2025-12-27,2025-12-31,664000,10,0,597600,0,,0
563,0,139,R-20251225-f4e5f6g7,139,guest139,2025-12-25 10:10,2025-12-27,2025-12-31,692000,0,0,692000,0,,0
564,0,140,R-20251225-g5f6g7h8,140,guest140,2025-12-25 10:10,2025-12-28,2025-12-31,555000,10,0,499500,0,,0
565,0,141,R-20251225-f6g7h8i9,141,guest141,2025-12-25 10:10,2025-12-27,2025-12-31,788000,10,0,709200,0,,0
566,0,142,R-20251225-g7h8i9j0,142,guest142,2025-12-25 10:10,2026-01-01,2026-01-06,380000,10,0,342000,0,,0
567,89,0,R-2025-12-25-a1b2c095,274,user89,2025-12-25 10:40,2025-12-28,2025-12-30,227600,10,0,204840,0,,1
568,90,0,R-2025-12-25-a1b2c096,279,user90,2025-12-25 11:45,2025-12-30,2026-01-02,531900,10,0,478710,0,,1
569,91,0,R-2025-12-25-a1b2c097,289,user91,2025-12-25 12:50,2026-01-01,2026-01-02,132200,10,0,118980,0,,1
570,92,0,R-2025-12-25-a1b2c098,295,user92,2025-12-25 13:55,2026-01-01,2026-01-03,299800,0,0,299800,0,,1
571,93,0,R-2025-12-25-a1b2c099,301,user93,2025-12-25 15:00,2026-01-15,2026-01-18,456000,10,0,410400,1,2025-12-26 15:00,0
572,94,0,R-2025-12-25-a1b2c100,305,user94,2025-12-25 16:05,2026-01-02,2026-01-03,110000,10,0,99000,0,,1
573,95,0,R-2025-12-26-a7c91d2f,12,user95,2025-12-26 8:20,2025-12-28,2025-12-29,122000,10,0,109800,0,,1
574,96,0,R-2025-12-26-b8d02e3a,27,user96,2025-12-26 9:25,2026-01-01,2026-01-03,240000,0,0,240000,0,,1
575,97,0,R-2025-12-26-c9e13f4b,39,user97,2025-12-26 10:30,2026-01-02,2026-01-05,468000,10,0,421200,0,,1
576,98,0,R-2025-12-26-d0f24a5c,47,user98,2025-12-26 11:35,2025-12-29,2025-12-30,124000,10,0,111600,0,,1
577,99,0,R-2025-12-26-e1a35b6d,58,user99,2025-12-26 12:40,2025-12-31,2026-01-02,336000,10,0,302400,0,,1
578,100,0,R-2025-12-26-f2b46c7e,73,user100,2025-12-26 13:45,2026-01-01,2026-01-04,423000,0,0,380700,1,2025-12-27 13:45,0
579,101,0,R-2025-12-26-a3c57d8f,95,user101,2025-12-26 14:50,2025-12-29,2025-12-30,182000,10,0,163800,0,,1
580,102,0,R-2025-12-26-b4d68e9a,108,user102,2025-12-26 15:55,2026-01-02,2026-01-04,232000,0,0,232000,0,,1
581,103,0,R-2025-12-26-c5e79f0b,129,user103,2025-12-26 17:00,2025-12-28,2025-12-31,546000,10,0,491400,0,,1
582,104,0,R-2025-12-27-d6f80a1c,142,user104,2025-12-27 8:20,2025-12-31,2026-01-01,76000,10,0,68400,0,,1
583,105,0,R-2025-12-27-e7a91b2d,154,user105,2025-12-27 9:25,2026-01-03,2026-01-05,304000,10,0,273600,0,,1
584,106,0,R-2025-12-27-f8b02c3e,166,user106,2025-12-27 10:30,2025-12-28,2025-12-31,534000,10,0,480600,0,,1
585,107,0,R-2025-12-27-a9c13d4f,175,user107,2025-12-27 11:35,2026-01-01,2026-01-02,55000,10,0,49500,1,2025-12-28 11:35,0
586,108,0,R-2025-12-27-b0d24e5a,181,user108,2025-12-27 12:40,2026-01-02,2026-01-04,344600,10,0,310140,0,,1
587,109,0,R-2025-12-27-c1e35f6b,190,user109,2025-12-27 13:45,2026-01-04,2026-01-07,355200,10,0,319680,0,,1
588,110,0,R-2025-12-27-d2f46a7c,203,user110,2025-12-27 14:50,2026-01-03,2026-01-04,164000,10,0,147600,1,2025-12-28 14:50,0
589,111,0,R-2025-12-27-e3a57b8d,218,user111,2025-12-27 15:55,2025-12-29,2025-12-31,263800,10,0,237420,0,,1
590,112,0,R-2025-12-27-f4b68c9e,231,user112,2025-12-27 17:00,2026-01-03,2026-01-06,534000,10,0,480600,0,,1
591,113,0,R-2025-12-28-a5c79d0f,243,user113,2025-12-28 8:20,2025-12-31,2026-01-01,82000,10,0,73800,1,2025-12-29 8:20,0
592,114,0,R-2025-12-28-b6d80e1a,256,user114,2025-12-28 9:25,2026-01-04,2026-01-06,318400,10,0,286560,0,,1
593,115,0,R-2025-12-28-c7e91f2b,264,user115,2025-12-28 10:30,2025-12-29,2026-01-01,624000,10,0,561600,0,,1
594,116,0,R-2025-12-28-d8f02a3c,279,user116,2025-12-28 11:35,2026-01-03,2026-01-04,177300,10,0,159570,0,,1
595,117,0,R-2025-12-28-e9a13b4d,289,user117,2025-12-28 12:40,2026-01-03,2026-01-05,264400,10,0,237960,0,,1
596,118,0,R-2025-12-28-f0b24c5e,301,user118,2025-12-28 13:45,2025-12-30,2026-01-02,456000,10,0,410400,0,,1
597,119,0,R-2025-12-28-a1c35d6f,314,user119,2025-12-28 14:50,2025-12-31,2026-01-01,146000,10,0,131400,1,2025-12-29 14:50,0
598,120,0,R-2025-12-28-b2d46e7a,333,user120,2025-12-28 15:55,2025-12-29,2025-12-31,238000,10,0,214200,0,,1
599,121,0,R-2025-12-28-c3e57f8b,352,user121,2025-12-28 17:00,2026-01-02,2026-01-05,567000,10,0,510300,0,,1
600,122,0,R-2025-12-29-d4f68a9c,360,user122,2025-12-29 8:20,2025-12-31,2026-01-01,202000,10,0,181800,0,,1
601,123,0,R-2025-12-29-e5a79b0d,371,user123,2025-12-29 9:25,2026-01-04,2026-01-06,354000,10,0,318600,0,,1
602,124,0,R-2025-12-29-f6b80c1e,386,user124,2025-12-29 10:30,2026-01-05,2026-01-08,444000,10,0,399600,1,2025-12-30 10:30,0
603,125,0,R-2025-12-29-a7c91d2a,397,user125,2025-12-29 11:35,2025-12-30,2025-12-31,243000,10,0,218700,0,,1
604,126,0,R-2025-12-29-b8d02e3b,402,user126,2025-12-29 12:40,2026-01-02,2026-01-04,490000,0,0,490000,0,,1
605,127,0,R-2025-12-29-c9e13f4c,410,user127,2025-12-29 13:45,2026-01-03,2026-01-06,735000,0,0,735000,0,,1
606,128,0,R-2025-12-29-d0f24a5d,420,user128,2025-12-29 14:50,2025-12-31,2026-01-01,253000,10,0,227700,0,,1
607,129,0,R-2025-12-29-e1a35b6e,25,user129,2025-12-29 15:55,2026-01-05,2026-01-07,192000,0,0,192000,0,,1
608,130,0,R-2025-12-29-f2b46c7f,52,user130,2025-12-29 17:00,2026-01-02,2026-01-05,294000,0,0,294000,0,,1
609,131,0,R-2025-12-30-a3c57d8a,68,user131,2025-12-30 8:20,2026-01-02,2026-01-03,163000,10,0,146700,0,,1
610,132,0,R-2025-12-30-b4d68e9b,81,user132,2025-12-30 9:25,2026-01-06,2026-01-08,212000,0,0,212000,0,,1
611,133,0,R-2025-12-30-c5e79f0c,95,user133,2025-12-30 10:30,2025-12-31,2026-01-03,546000,10,0,491400,1,2025-12-31 10:30,0
612,134,0,R-2025-12-30-d6f80a1d,108,user134,2025-12-30 11:35,2026-01-04,2026-01-05,116000,10,0,104400,0,,1
613,135,0,R-2025-12-30-e7a91b2e,129,user135,2025-12-30 12:40,2026-01-05,2026-01-07,364000,10,0,327600,0,,1
614,136,0,R-2025-12-30-f8b02c3f,154,user136,2025-12-30 13:45,2026-01-07,2026-01-10,456000,10,0,410400,0,,1
615,137,0,R-2025-12-30-a9c13d4a,166,user137,2025-12-30 14:50,2026-01-06,2026-01-07,178000,10,0,160200,0,,1
616,138,0,R-2025-12-30-b0d24e5b,181,user138,2025-12-30 15:55,2025-12-31,2026-01-02,344600,10,0,310140,0,,1
617,139,0,R-2025-12-30-c1e35f6c,203,user139,2025-12-30 17:00,2026-01-04,2026-01-07,492000,10,0,442800,0,,1
618,1,0,R-2025-12-31-d2f46a7d,218,user1,2025-12-31 8:20,2026-01-09,2026-01-10,131900,10,0,118710,0,,1
619,2,0,R-2025-12-31-e3a57b8e,231,user2,2025-12-31 9:25,2026-01-12,2026-01-14,356000,10,0,320400,0,,1
620,3,0,R-2025-12-31-f4b68c9f,256,user3,2025-12-31 10:30,2026-01-15,2026-01-18,477600,10,0,429840,0,,1
621,4,0,R-2025-12-31-a5c79d0a,289,user4,2025-12-31 11:35,2026-01-06,2026-01-07,132200,10,0,118980,0,,1
622,5,0,R-2025-12-31-b6d80e1b,333,user5,2025-12-31 12:40,2026-01-01,2026-01-03,238000,10,0,214200,1,2025-12-31 18:40,0
623,140,0,R-2026-01-01-00000js7,12,user140,2026-01-01 6:20,2026-01-03,2026-01-04,122000,10,0,109800,0,,1
624,141,0,R-2026-01-01-00000js8,81,user141,2026-01-01 7:25,2026-01-02,2026-01-04,212000,0,0,212000,0,,1
625,142,0,R-2026-01-01-00000js9,181,user142,2026-01-01 8:30,2026-01-10,2026-01-13,516900,10,0,465210,0,,1
626,143,0,R-2026-01-01-00000jta,264,user143,2026-01-01 9:35,2026-01-02,2026-01-03,208000,10,0,187200,0,,1
627,144,0,R-2026-01-01-00000jtb,371,user144,2026-01-01 10:40,2026-01-07,2026-01-09,354000,10,0,318600,0,,1
628,145,0,R-2026-01-01-00000jtc,88,user145,2026-01-01 11:45,2026-01-06,2026-01-09,291000,10,0,261900,0,,1
629,146,0,R-2026-01-01-00000jtd,175,user146,2026-01-01 12:50,2026-01-08,2026-01-09,55000,10,0,49500,0,,1
630,147,0,R-2026-01-01-00000jte,305,user147,2026-01-01 13:55,2026-01-03,2026-01-05,220000,10,0,198000,1,2026-01-02 13:55,0
631,148,0,R-2026-01-01-00000jtf,415,user148,2026-01-01 15:00,2026-01-05,2026-01-08,597000,0,0,597000,0,,1
632,149,0,R-2026-01-01-00000jtg,73,user149,2026-01-01 16:05,2026-01-07,2026-01-08,141000,0,0,126900,0,,1
633,150,0,R-2026-01-01-00000jth,166,user150,2026-01-01 17:10,2026-01-02,2026-01-04,356000,10,0,320400,0,,1
634,151,0,R-2026-01-01-00000jti,256,user151,2026-01-01 18:15,2026-01-07,2026-01-10,477600,10,0,429840,0,,1
635,0,143,R-20260101-h8i9j0k1,143,guest143,2026-01-01 18:18,2026-01-03,2026-01-07,352000,10,0,316800,0,,0
636,152,0,R-2026-01-01-00000jtj,352,user152,2026-01-01 19:20,2026-01-06,2026-01-07,189000,10,0,170100,0,,1
637,153,0,R-2026-01-01-00000jtk,70,user153,2026-01-01 20:25,2026-01-08,2026-01-10,196000,0,0,196000,0,,1
